vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig,dL_h,L_o,dL_o,dist
884,98,polarity,-1,0.107489824,0.24378687,0.94625556,72.389786,0.007692896,0.016609892,0.01822350174188614,0.003631891682744026,0.007692896
885,98,vocab,-1,0.2711332,0.61493003,0.864434,71.94253,0.30934003,0.38775307,0.07638738304376602,0.06179577298462391,0.30934003
886,98,cat,-1,0.34077513,0.7728779,0.82961285,71.94789,0.5273442,0.5457009,3.768526554107666,3.753934944048524,0.5273442
887,98,shuffle,-1,0.19761138,0.44818252,0.9011947,72.25807,0.15910308,0.22100554,0.023423923179507256,0.008832313120365143,0.15910308
888,98,unrelated,116,0.8091396,1.8351283,0.59543055,71.97685,1.551729,1.6079513,0.17159374058246613,0.157002130523324,1.551729
889,98,unrelated_token,116,0.8097969,1.836619,0.595102,71.98124,1.5533081,1.609442,0.18433193862438202,0.1697403285652399,1.5533081
891,99,paraphrase,-1,0.12638348,0.2866377,0.9368084,72.01622,0.017796814,-0.0036803186,0.002214125357568264,-0.0005830570589751005,0.017796814
892,99,translate,-1,0.13251904,0.3005531,0.93374056,71.99339,0.018942202,0.010235101,0.0030690995045006275,0.000271917087957263,0.018942202
893,99,polarity,-1,0.12380202,0.28078294,0.93809897,72.02607,0.004872981,-0.009535074,0.0024252706207334995,-0.000371911795809865,0.004872981
894,99,vocab,-1,0.14336534,0.32515252,0.9283173,71.98388,0.10771833,0.034834504,0.005786206107586622,0.0029890236910432577,0.10771833
895,99,cat,-1,0.47753754,1.0830549,0.76123136,71.918564,0.90446407,0.7927369,2.2617175579071045,2.258920375490561,0.90446407
896,99,shuffle,-1,0.119543314,0.27112418,0.94022864,72.00872,0.02038683,-0.019193828,0.0024523138999938965,-0.00034486851654946804,0.02038683
897,99,unrelated,255,0.8481778,1.9236668,0.57591146,71.782036,1.8996689,1.6333488,3.9195456504821777,3.9167484680656344,1.8996689
898,99,unrelated_token,255,0.59842044,1.3572173,0.7007901,71.704384,1.3186619,1.0668993,0.10830260068178177,0.1055054182652384,1.3186619
900,100,paraphrase,-1,0.110631205,0.25091153,0.9446849,71.94169,0.020677356,0.026141465,0.07070737332105637,0.021521437913179398,0.020677356
901,100,translate,-1,0.1090434,0.24731037,0.94547874,71.94712,0.017453032,0.022540301,0.04976259544491768,0.0005766600370407104,0.017453032
902,100,polarity,-1,0.113525614,0.25747603,0.9432376,71.94234,0.018360225,0.032705963,0.07148858904838562,0.02230265364050865,0.018360225
903,100,vocab,-1,0.1937869,0.43950862,0.90310675,71.77915,0.2108605,0.21473855,0.05377428978681564,0.004588354378938675,0.2108605
904,100,cat,-1,0.41546163,0.94226676,0.7922696,71.76117,0.7523712,0.7174967,4.857695579528809,4.808509644120932,0.7523712
905,100,shuffle,-1,0.14019884,0.3179709,0.9299008,71.9352,0.07959997,0.09320083,0.12558215856552124,0.07639622315764427,0.07959997
906,100,unrelated,203,0.75466335,1.7115761,0.62266886,71.92332,1.5288535,1.486806,4.299506187438965,4.250320252031088,1.5288535
907,100,unrelated_token,203,0.6880143,1.5604162,0.6559934,71.87005,1.3758792,1.3356462,0.4689866602420807,0.4198007248342037,1.3758792
909,101,paraphrase,-1,0.06282636,0.14249015,0.96858686,72.006966,0.0052088946,-0.004682943,0.04643654823303223,0.014961358159780502,0.0052088946
910,101,translate,-1,0.06584511,0.14933668,0.96707743,71.994255,0.0049549513,0.002163589,0.019858192652463913,-0.011616997420787811,0.0049549513
911,101,polarity,-1,0.06726362,0.15255386,0.9663682,72.011055,0.0046748975,0.0053807646,0.03380987048149109,0.0023346804082393646,0.0046748975
912,101,vocab,-1,0.07768793,0.17619619,0.96115613,71.94303,0.03744055,0.029023096,0.05238347873091698,0.020908288657665253,0.03744055
913,101,cat,-1,0.3386769,0.76811904,0.83066154,71.83268,0.69867015,0.62094593,6.024895668029785,5.993420477956533,0.69867015
914,101,shuffle,-1,0.06417722,0.14555392,0.96791124,71.99914,0.0034964571,-0.0016191751,0.03203272074460983,0.0005575306713581085,0.0034964571
915,101,unrelated,13,0.5879568,1.3334857,0.7060217,71.87004,1.2301356,1.1863127,0.11517737805843353,0.08370218798518181,1.2301356
916,101,unrelated_token,13,0.5698799,1.2924874,0.71505994,71.8649,1.1831559,1.1453143,0.049636807292699814,0.01816161721944809,1.1831559
918,102,paraphrase,-1,0.04930543,0.1118247,0.97534776,72.04824,0.01564058,0.007981233,0.005968081299215555,-0.005670348647981882,0.01564058
919,102,translate,-1,0.049628306,0.11255698,0.97518617,72.0998,0.013265662,0.008713514,0.011194557882845402,-0.0004438720643520355,0.013265662
920,102,polarity,-1,0.04923799,0.11167174,0.97538126,72.122795,0.0038865292,0.007828273,0.00841545034199953,-0.0032229796051979065,0.0038865292
921,102,vocab,-1,0.1658559,0.3761611,0.9170724,72.03519,0.21873999,0.27231765,0.09713304042816162,0.08549461048096418,0.21873999
922,102,cat,-1,0.5173804,1.1734185,0.7413101,71.94374,1.0877953,1.0695751,10.746580123901367,10.73494169395417,1.0877953
923,102,shuffle,-1,0.051833224,0.11755773,0.9740838,72.106064,0.018919835,0.013714261,0.0035142896231263876,-0.00812414032407105,0.018919835
924,102,unrelated,141,0.8560274,1.9414698,0.57198673,72.04988,1.8402641,1.8376263,5.718707084655762,5.707068654708564,1.8402641
925,102,unrelated_token,141,0.6596935,1.4961845,0.6701534,72.01935,1.35459,1.392341,0.16472038626670837,0.15308195631951094,1.35459
927,103,paraphrase,-1,0.13921295,0.31573492,0.93039364,72.1209,0.013408894,0.011672854,0.05018676072359085,-0.016987577080726624,0.013408894
928,103,translate,-1,0.13922366,0.3157592,0.9303883,72.140884,0.008010006,0.011697143,0.052625857293605804,-0.01454848051071167,0.008010006
929,103,polarity,-1,0.13452151,0.30509475,0.93273944,72.15522,0.00711202,0.0010326803,0.06863880157470703,0.0014644637703895569,0.00711202
930,103,vocab,-1,0.27140498,0.6155464,0.8642976,71.851,0.28638402,0.31148434,0.0759262666106224,0.008751928806304932,0.28638402
