tau,eps_steg,eps_alias,err_cat,err_contradict,err_delete,err_paraphrase,err_polarity,err_resample,err_shuffle,err_translate,err_unrelated,err_vocab
0.7417606219910738,0.0,0.8079178885630498,0.484375,0.9951076320939335,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7486929642526726,0.0,0.8098729227761485,0.4921875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7556253065142715,0.0,0.8108504398826979,0.5,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7625576487758703,0.0,0.8118279569892473,0.5078125,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7694899910374691,0.0,0.8123167155425219,0.51171875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.776422333299068,0.0,0.8132942326490714,0.51953125,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7833546755606667,0.0,0.8162267839687195,0.54296875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7902870178222656,0.0,0.8181818181818182,0.55859375,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.7972193600838644,0.0,0.820136852394917,0.57421875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8041517023454632,0.0,0.8235581622678397,0.6015625,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8110840446070621,0.0,0.8264907135874878,0.625,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8180163868686608,0.0,0.8279569892473119,0.63671875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8249487291302597,0.0,0.8304007820136853,0.65625,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8318810713918585,0.0,0.8313782991202346,0.6640625,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8388134136534573,0.0,0.8333333333333334,0.6796875,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8457457559150562,0.0,0.8347996089931574,0.69140625,0.99706457925636,0.9980430528375733,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.852678098176655,0.0,0.8357771260997068,0.69921875,0.99706457925636,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8596104404382537,0.0,0.8372434017595308,0.7109375,0.99706457925636,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8665427826998526,0.0,0.8382209188660802,0.71484375,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8734751249614514,0.0,0.8387096774193549,0.71875,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8804074672230503,0.0,0.8411534701857283,0.73828125,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8873398094846491,0.0,0.8435972629521017,0.7578125,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.8942721517462479,0.0,0.8440860215053764,0.76171875,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9012044940078467,0.0,0.8460410557184751,0.77734375,0.9980430528375733,0.9990215264187867,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9081368362694455,0.0,0.8479960899315738,0.79296875,0.9980430528375733,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9150691785310444,0.0,0.8479960899315738,0.79296875,0.9980430528375733,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9220015207926432,0.0,0.8489736070381232,0.80078125,0.9980430528375733,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.928933863054242,0.0,0.8499511241446726,0.80859375,0.9980430528375733,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.9358662053158409,0.0,0.8504398826979472,0.8125,0.9980430528375733,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
