idx,kind,claim_id,vid,sim_to_orig,p_entail_fwd,p_contra_fwd,p_entail_bwd,p_contra_bwd
20,polarity,-1,331,0.9798578199052133,0.0049581174,0.9911616,,
20,vocab,-1,332,0.965558912386707,0.00060124724,0.9975612,,
20,cat,-1,333,0.9879807692307693,0.040754255,0.9357509,,
21,contradict,0,337,0.9183128670581954,0.00022502392,0.999134,,
21,delete,0,338,0.9264458169567659,0.9413081,0.029847423,,
21,contradict,1,339,0.9555206698063841,8.6463384e-05,0.9996793,,
21,delete,1,340,0.9240292628024761,0.92721915,0.051625013,,
21,contradict,2,341,0.9858860428646106,0.017847124,0.9407583,,
21,delete,2,342,0.9769930444087748,0.9489352,0.031196363,,
21,contradict,3,343,0.9684542586750788,0.2594003,0.58378315,,
21,delete,3,344,0.9676025917926566,0.87554574,0.09330127,,
21,paraphrase,-1,345,0.9739311783107404,0.9871049,0.00632792,0.9912394881248474,0.0036992712412029505
21,translate,-1,346,0.5800486618004866,0.99794585,0.00041908078,0.9976029992103577,0.00046553570427931845
21,polarity,-1,347,0.9835051546391752,0.0006651256,0.99697,,
21,vocab,-1,348,0.9700787401574803,0.00032045195,0.99914396,,
21,cat,-1,349,0.9916317991631799,0.000860127,0.99821174,,
22,contradict,0,353,0.9339622641509434,0.0011647738,0.9967302,,
22,delete,0,354,0.9336158192090396,0.933974,0.043363772,,
22,contradict,1,355,0.9656538969616909,0.0006411921,0.99354255,,
22,delete,1,356,0.9664613278576317,0.9144484,0.06058005,,
22,contradict,2,357,0.9483568075117371,0.0003539482,0.9989531,,
22,delete,2,358,0.9206576125804146,0.9012968,0.067559876,,
22,contradict,3,359,0.9532085561497327,0.042648595,0.5090196,,
22,delete,3,360,0.9366197183098591,0.88244027,0.02741284,,
22,paraphrase,-1,361,0.9688122096881221,0.99173754,0.0020944735,0.991181492805481,0.001611270010471344
22,translate,-1,362,0.5766103814884302,0.9971052,0.00072632835,0.9978858828544617,0.00044695448013953865
22,polarity,-1,363,0.9830508474576272,0.0002735915,0.9992508,,
22,vocab,-1,364,0.9693333333333334,0.00028276318,0.99902153,,
22,cat,2,365,0.9907161803713528,0.0026491662,0.9961844,,
23,contradict,0,369,0.9025102159953299,0.00037019033,0.9988979,,
23,delete,0,370,0.9009463722397476,0.9523345,0.018823164,,
23,contradict,1,371,0.9664739884393063,0.0002681502,0.9986939,,
23,delete,1,372,0.9499698613622665,0.8787868,0.09647788,,
23,contradict,2,373,0.9688581314878892,0.0008715154,0.9976943,,
23,delete,2,374,0.9299754299754299,0.93052506,0.044163447,,
23,contradict,3,375,0.9583333333333334,0.017015439,0.95756584,,
23,delete,3,376,0.9390986601705238,0.92034936,0.0586925,,
23,paraphrase,-1,377,0.9769850402761795,0.9841246,0.008456341,0.9840065836906433,0.007579305674880743
23,translate,-1,378,0.50231124807396,0.994831,0.0013644835,0.9957946538925171,0.001285563805140555
23,polarity,-1,379,0.9780033840947546,0.00068854133,0.99836296,,
23,vocab,-1,380,0.9850746268656716,0.00072434614,0.9982759,,
23,cat,-1,381,0.9884659746251442,0.0010012917,0.99783486,,
24,contradict,0,385,0.9632183908045977,0.0001245339,0.9993019,,
24,delete,0,386,0.9605263157894737,0.9049445,0.07552586,,
24,contradict,1,387,0.9936745255894192,0.0023323863,0.99578613,,
24,delete,1,388,0.969768820391227,0.8753842,0.048905864,,
24,contradict,2,389,0.988479262672811,0.0009969664,0.997413,,
24,delete,2,390,0.9794480328831474,0.84455997,0.1187649,,
24,contradict,3,391,0.9788208357183743,0.008646047,0.9781058,,
24,delete,3,392,0.9504830917874396,0.67314327,0.22650926,,
24,paraphrase,-1,393,0.9679633867276888,0.9940268,0.0013111501,0.9920580983161926,0.002296583028510213
24,translate,-1,394,0.6449834619625138,0.9946854,0.0019772826,0.997670590877533,0.0007154732011258602
24,polarity,-1,395,0.9818799546998868,0.00052298134,0.99872345,,
24,vocab,-1,396,0.9590778097982708,0.00042424756,0.99847966,,
24,cat,-1,397,0.9930955120828538,0.001768551,0.9963961,,
25,contradict,0,401,0.9711255156157925,0.00031590083,0.9985127,,
25,delete,0,402,0.9714285714285714,0.9895851,0.004755944,,
25,contradict,1,403,0.9769911504424779,0.00037394496,0.99922335,,
25,delete,1,404,0.9411764705882353,0.93735635,0.034310322,,
25,contradict,2,405,0.9946777054997044,0.000526831,0.99824584,,
25,delete,2,406,0.9625996321275291,0.9659404,0.01950671,,
25,contradict,3,407,0.9934872705743043,0.0021848208,0.9968304,,
25,delete,3,408,0.9757869249394673,0.8513046,0.055712663,,
25,paraphrase,-1,409,0.9739644970414201,0.99645656,0.0011046384,0.9952568411827087,0.0011361101642251015
