tau,eps_steg,eps_alias,err_contradict,err_delete,err_paraphrase,err_resample,err_shuffle,err_translate,err_unrelated
0.39879485180503443,0.08333333333333333,0.75,0.9375,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4044919211165349,0.08333333333333333,0.75,0.9375,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4101889904280354,0.08333333333333333,0.75,0.9375,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4158860597395359,0.08333333333333333,0.75,0.9375,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4215831290510364,0.08333333333333333,0.75,0.9375,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4272801983625369,0.08333333333333333,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.4329772676740374,0.08333333333333333,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.43867433698553787,0.08333333333333333,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0
0.44437140629703836,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.45006847560853885,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.45576554492003934,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.46146261423153984,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4671596835430403,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4728567528545408,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4785538221660413,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4842508914775418,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4899479607890423,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.4956450301005428,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5013420994120433,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5070391687235438,0.06944444444444445,0.7583333333333333,0.9479166666666666,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5127362380350443,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5184333073465448,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5241303766580453,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5298274459695458,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5355245152810463,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5412215845925468,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5469186539040473,0.06944444444444445,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.16666666666666666,1.0,0.041666666666666664,0.0,0.0
0.5526157232155477,0.05555555555555555,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.125,1.0,0.041666666666666664,0.0,0.0
0.5583127925270482,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5640098618385487,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5697069311500492,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5754040004615497,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5811010697730502,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5867981390845507,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5924952083960512,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.5981922777075517,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.6038893470190522,0.041666666666666664,0.7666666666666667,0.9583333333333334,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.6095864163305527,0.041666666666666664,0.775,0.96875,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
0.6152834856420532,0.041666666666666664,0.775,0.96875,0.9895833333333334,0.08333333333333333,1.0,0.041666666666666664,0.0,0.0
